"file" "checksum" "filesize" "algorithm"
"area_1.tif" "3d2095ca01c6de8f" "2316" "xxhash64"
"data_area1.RData" "571d6cd557d0857b" "7590512" "xxhash64"
"SpeciesPresentInAllCanadianForests.zip" "1928bbef0445c994" "3443551" "xxhash64"
"SpeciesPresentInCanadianForests.tif" "a456b9ce33d7c9e3" "1607909" "xxhash64"
"SpeciesPresentInCanadianForests.tif" "a5ce06486749355e" "4091518" "xxhash64"
"SpeciesPresentInCanadianForests.tif.aux.xml" "4e171f65610a4df0" "36530" "xxhash64"
"SpeciesPresentInCanadianForests.tif.aux.xml" "db4c7ed953d96352" "318903" "xxhash64"
"SpeciesPresentInCanadianForests.zip" "203a3dd4e79b1958" "1451902" "xxhash64"
